description_length,industry_present,subcategory_present,customer_present,business_model_present,pain_point_present,solution_present,target
528,1,1,1,1,1,1,100.0
24,1,1,1,1,1,1,92.4
371,1,1,1,1,1,1,100.0
189,1,1,1,1,1,1,100.0
224,1,1,1,1,1,1,100.0
380,1,1,1,1,1,1,100.0
319,1,1,1,1,1,1,100.0
284,1,1,1,1,1,1,100.0
214,1,1,1,1,1,1,100.0
514,1,1,1,1,1,1,100.0
284,1,1,1,1,1,1,100.0
305,1,1,1,1,1,1,100.0
536,1,1,1,1,1,1,100.0
402,1,1,1,1,1,1,100.0
342,1,1,1,1,1,1,100.0
552,1,1,1,1,1,1,100.0
221,1,1,1,1,1,1,100.0
231,1,1,1,1,1,1,100.0
317,1,1,1,1,1,1,100.0
511,1,1,1,1,1,1,100.0
294,1,1,1,1,1,1,100.0
137,1,1,1,1,1,1,100.0
474,1,1,1,1,1,1,100.0
555,1,1,1,1,1,1,100.0
253,1,1,1,1,1,1,100.0
351,1,1,1,1,1,1,100.0
155,1,1,1,1,1,1,100.0
223,1,1,1,1,1,1,100.0
550,1,1,1,1,1,1,100.0
381,1,1,1,1,1,1,100.0
503,1,1,1,1,1,1,100.0
250,1,1,1,1,1,1,100.0
503,1,1,1,1,1,1,100.0
459,1,1,1,1,1,1,100.0
146,1,1,1,1,1,1,100.0
530,1,1,1,1,1,1,100.0
423,1,1,1,1,1,1,100.0
332,1,1,1,1,1,1,100.0
474,1,1,1,1,1,1,100.0
476,1,1,1,1,1,1,100.0
282,1,1,1,1,1,1,100.0
199,1,1,1,1,1,1,100.0
371,1,1,1,1,1,1,100.0
272,1,1,1,1,1,1,100.0
206,1,1,1,1,1,1,100.0
497,1,1,1,1,1,1,100.0
236,1,1,1,1,1,1,100.0
205,1,1,1,1,1,1,100.0
242,1,1,1,1,1,1,100.0
290,1,1,1,1,1,1,100.0
216,1,1,1,1,1,1,100.0
174,1,1,1,1,1,1,100.0
219,1,1,1,1,1,1,100.0
303,1,1,1,1,1,1,100.0
206,1,1,1,1,1,1,100.0
226,1,1,1,1,1,1,100.0
396,1,1,1,1,1,1,100.0
530,1,1,1,1,1,1,100.0
209,1,1,1,1,1,1,100.0
252,1,1,1,1,1,1,100.0
211,1,1,1,1,1,1,100.0
345,1,1,1,1,1,1,100.0
423,1,1,1,1,1,1,100.0
557,1,1,1,1,1,1,100.0
214,1,1,1,1,1,1,100.0
421,1,1,1,1,1,1,100.0
252,1,1,1,1,1,1,100.0
178,1,1,1,1,1,1,100.0
282,1,1,1,1,1,1,100.0
438,1,1,1,1,1,1,100.0
510,1,1,1,1,1,1,100.0
516,1,1,1,1,1,1,100.0
479,1,1,1,1,1,1,100.0
534,1,1,1,1,1,1,100.0
432,1,1,1,1,1,1,100.0
157,1,1,1,1,1,1,100.0
393,1,1,1,1,1,1,100.0
152,1,1,1,1,1,1,100.0
350,1,1,1,1,1,1,100.0
538,1,1,1,1,1,1,100.0
223,1,1,1,1,1,1,100.0
465,1,1,1,1,1,1,100.0
391,1,1,1,1,1,1,100.0
529,1,1,1,1,1,1,100.0
432,1,1,1,1,1,1,100.0
276,1,1,1,1,1,1,100.0
296,1,1,1,1,1,1,100.0
207,1,1,1,1,1,1,100.0
264,1,1,1,1,1,1,100.0
235,1,1,1,1,1,1,100.0
290,1,1,1,1,1,1,100.0
126,1,1,1,1,1,1,100.0
126,1,1,1,1,1,1,100.0
199,1,1,1,1,1,1,100.0
506,1,1,1,1,1,1,100.0
469,1,1,1,1,1,1,100.0
457,1,1,1,1,1,1,100.0
396,1,1,1,1,1,1,100.0
385,1,1,1,1,1,1,100.0
225,1,1,1,1,1,1,100.0
396,1,1,1,1,1,1,100.0
350,1,1,1,1,1,1,100.0
305,1,1,1,1,1,1,100.0
351,1,1,1,1,1,1,100.0
426,1,1,1,1,1,1,100.0
340,1,1,1,1,1,1,100.0
94,1,1,1,1,1,1,99.4
540,1,1,1,1,1,1,100.0
236,1,1,1,1,1,1,100.0
206,1,1,1,1,1,1,100.0
205,1,1,1,1,1,1,100.0
206,1,1,1,1,1,1,100.0
452,1,1,1,1,1,1,100.0
393,1,1,1,1,1,1,100.0
371,1,1,1,1,1,1,100.0
253,1,1,1,1,1,1,100.0
319,1,1,1,1,1,1,100.0
432,1,1,1,1,1,1,100.0
486,1,1,1,1,1,1,100.0
275,1,1,1,1,1,1,100.0
196,1,1,1,1,1,1,100.0
214,1,1,1,1,1,1,100.0
290,1,1,1,1,1,1,100.0
177,1,1,1,1,1,1,100.0
312,1,1,1,1,1,1,100.0
254,1,1,1,1,1,1,100.0
190,1,1,1,1,1,1,100.0
236,1,1,1,1,1,1,100.0
270,1,1,1,1,1,1,100.0
212,1,1,1,1,1,1,100.0
188,1,1,1,1,1,1,100.0
124,1,1,1,1,1,1,100.0
296,1,1,1,1,1,1,100.0
206,1,1,1,1,1,1,100.0
514,1,1,1,1,1,1,100.0
552,1,1,1,1,1,1,100.0
199,1,1,1,1,1,1,100.0
171,1,1,1,1,1,1,100.0
377,1,1,1,1,1,1,100.0
148,1,1,1,1,1,1,100.0
190,1,1,1,1,1,1,100.0
163,1,1,1,1,1,1,100.0
218,1,1,1,1,1,1,100.0
300,1,1,1,1,1,1,100.0
204,1,1,1,1,1,1,100.0
413,1,1,1,1,1,1,100.0
270,1,1,1,1,1,1,100.0
306,1,1,1,1,1,1,100.0
250,1,1,1,1,1,1,100.0
504,1,1,1,1,1,1,100.0
246,1,1,1,1,1,1,100.0
210,1,1,1,1,1,1,100.0
436,1,1,1,1,1,1,100.0
248,1,1,1,1,1,1,100.0
409,1,1,1,1,1,1,100.0
388,1,1,1,1,1,1,100.0
198,1,1,1,1,1,1,100.0
344,1,1,1,1,1,1,100.0
293,1,1,1,1,1,1,100.0
396,1,1,1,1,1,1,100.0
516,1,1,1,1,1,1,100.0
194,1,1,1,1,1,1,100.0
309,1,1,1,1,1,1,100.0
163,1,1,1,1,1,1,100.0
172,1,1,1,1,1,1,100.0
169,1,1,1,1,1,1,100.0
202,1,1,1,1,1,1,100.0
505,1,1,1,1,1,1,100.0
263,1,1,1,1,1,1,100.0
248,1,1,1,1,1,1,100.0
405,1,1,1,1,1,1,100.0
160,1,1,1,1,1,1,100.0
143,1,1,1,1,1,1,100.0
320,1,1,1,1,1,1,100.0
97,1,1,1,1,1,1,99.7
337,1,1,1,1,1,1,100.0
206,1,1,1,1,1,1,100.0
210,1,1,1,1,1,1,100.0
245,1,1,1,1,1,1,100.0
170,1,1,1,1,1,1,100.0
252,1,1,1,1,1,1,100.0
161,1,1,1,1,1,1,100.0
381,1,1,1,1,1,1,100.0
511,1,1,1,1,1,1,100.0
340,1,1,1,1,1,1,100.0
419,1,1,1,1,1,1,100.0
242,1,1,1,1,1,1,100.0
384,1,1,1,1,1,1,100.0
274,1,1,1,1,1,1,100.0
322,1,1,1,1,1,1,100.0
182,1,1,1,1,1,1,100.0
389,1,1,1,1,1,1,100.0
455,1,1,1,1,1,1,100.0
129,1,1,1,1,1,1,100.0
155,1,1,1,1,1,1,100.0
507,1,1,1,1,1,1,100.0
206,1,1,1,1,1,1,100.0
529,1,1,1,1,1,1,100.0
347,1,1,1,1,1,1,100.0
194,1,1,1,1,1,1,100.0
377,1,1,1,1,1,1,100.0
198,1,1,1,1,1,1,100.0
289,1,1,1,1,1,1,100.0
355,1,1,1,1,1,1,100.0
438,1,1,1,1,1,1,100.0
138,1,1,1,1,1,1,100.0
187,1,1,1,1,1,1,100.0
263,1,1,1,1,1,1,100.0
291,1,1,1,1,1,1,100.0
473,1,1,1,1,1,1,100.0
498,1,1,1,1,1,1,100.0
306,1,1,1,1,1,1,100.0
441,1,1,1,1,1,1,100.0
486,1,1,1,1,1,1,100.0
168,1,1,1,1,1,1,100.0
377,1,1,1,1,1,1,100.0
240,1,1,1,1,1,1,100.0
156,1,1,1,1,1,1,100.0
302,1,1,1,1,1,1,100.0
139,1,1,1,1,1,1,100.0
538,1,1,1,1,1,1,100.0
536,1,1,1,1,1,1,100.0
374,1,1,1,1,1,1,100.0
403,1,1,1,1,1,1,100.0
357,1,1,1,1,1,1,100.0
477,1,1,1,1,1,1,100.0
210,1,1,1,1,1,1,100.0
266,1,1,1,1,1,1,100.0
182,1,1,1,1,1,1,100.0
391,1,1,1,1,1,1,100.0
423,1,1,1,1,1,1,100.0
505,1,1,1,1,1,1,100.0
416,1,1,1,1,1,1,100.0
419,1,1,1,1,1,1,100.0
529,1,1,1,1,1,1,100.0
235,1,1,1,1,1,1,100.0
329,1,1,1,1,1,1,100.0
539,1,1,1,1,1,1,100.0
195,1,1,1,1,1,1,100.0
289,1,1,1,1,1,1,100.0
230,1,1,1,1,1,1,100.0
356,1,1,1,1,1,1,100.0
505,1,1,1,1,1,1,100.0
533,1,1,1,1,1,1,100.0
263,1,1,1,1,1,1,100.0
127,1,1,1,1,1,1,100.0
463,1,1,1,1,1,1,100.0
350,1,1,1,1,1,1,100.0
225,1,1,1,1,1,1,100.0
359,1,1,1,1,1,1,100.0
416,1,1,1,1,1,1,100.0
146,1,1,1,1,1,1,100.0
416,1,1,1,1,1,1,100.0
389,1,1,1,1,1,1,100.0
509,1,1,1,1,1,1,100.0
518,1,1,1,1,1,1,100.0
466,1,1,1,1,1,1,100.0
498,1,1,1,1,1,1,100.0
472,1,1,1,1,1,1,100.0
230,1,1,1,1,1,1,100.0
525,1,1,1,1,1,1,100.0
286,1,1,1,1,1,1,100.0
216,1,1,1,1,1,1,100.0
348,1,1,1,1,1,1,100.0
170,1,1,1,1,1,1,100.0
305,1,1,1,1,1,1,100.0
428,1,1,1,1,1,1,100.0
208,1,1,1,1,1,1,100.0
233,1,1,1,1,1,1,100.0
240,1,1,1,1,1,1,100.0
531,1,1,1,1,1,1,100.0
408,1,1,1,1,1,1,100.0
182,1,1,1,1,1,1,100.0
206,1,1,1,1,1,1,100.0
268,1,1,1,1,1,1,100.0
466,1,1,1,1,1,1,100.0
239,1,1,1,1,1,1,100.0
89,1,1,1,1,1,1,98.9
200,1,1,1,1,1,1,100.0
264,1,1,1,1,1,1,100.0
334,1,1,1,1,1,1,100.0
485,1,1,1,1,1,1,100.0
304,1,1,1,1,1,1,100.0
205,1,1,1,1,1,1,100.0
468,1,1,1,1,1,1,100.0
288,1,1,1,1,1,1,100.0
546,1,1,1,1,1,1,100.0
137,1,1,1,1,1,1,100.0
474,1,1,1,1,1,1,100.0
545,1,1,1,1,1,1,100.0
241,1,1,1,1,1,1,100.0
417,1,1,1,1,1,1,100.0
380,1,1,1,1,1,1,100.0
510,1,1,1,1,1,1,100.0
180,1,1,1,1,1,1,100.0
182,1,1,1,1,1,1,100.0
482,1,1,1,1,1,1,100.0
191,1,1,1,1,1,1,100.0
339,1,1,1,1,1,1,100.0
277,1,1,1,1,1,1,100.0
553,1,1,1,1,1,1,100.0
557,1,1,1,1,1,1,100.0
504,1,1,1,1,1,1,100.0
467,1,1,1,1,1,1,100.0
175,1,1,1,1,1,1,100.0
506,1,1,1,1,1,1,100.0
446,1,1,1,1,1,1,100.0
557,1,1,1,1,1,1,100.0
189,1,1,1,1,1,1,100.0
478,1,1,1,1,1,1,100.0
231,1,1,1,1,1,1,100.0
428,1,1,1,1,1,1,100.0
454,1,1,1,1,1,1,100.0
252,1,1,1,1,1,1,100.0
284,1,1,1,1,1,1,100.0
318,1,1,1,1,1,1,100.0
230,1,1,1,1,1,1,100.0
348,1,1,1,1,1,1,100.0
376,1,1,1,1,1,1,100.0
271,1,1,1,1,1,1,100.0
295,1,1,1,1,1,1,100.0
450,1,1,1,1,1,1,100.0
287,1,1,1,1,1,1,100.0
226,1,1,1,1,1,1,100.0
399,1,1,1,1,1,1,100.0
166,1,1,1,1,1,1,100.0
172,1,1,1,1,1,1,100.0
290,1,1,1,1,1,1,100.0
192,1,1,1,1,1,1,100.0
220,1,1,1,1,1,1,100.0
318,1,1,1,1,1,1,100.0
211,1,1,1,1,1,1,100.0
229,1,1,1,1,1,1,100.0
365,1,1,1,1,1,1,100.0
252,1,1,1,1,1,1,100.0
306,1,1,1,1,1,1,100.0
279,1,1,1,1,1,1,100.0
535,1,1,1,1,1,1,100.0
480,1,1,1,1,1,1,100.0
536,1,1,1,1,1,1,100.0
531,1,1,1,1,1,1,100.0
463,1,1,1,1,1,1,100.0
454,1,1,1,1,1,1,100.0
398,1,1,1,1,1,1,100.0
437,1,1,1,1,1,1,100.0
295,1,1,1,1,1,1,100.0
214,1,1,1,1,1,1,100.0
271,1,1,1,1,1,1,100.0
420,1,1,1,1,1,1,100.0
191,1,1,1,1,1,1,100.0
526,1,1,1,1,1,1,100.0
543,1,1,1,1,1,1,100.0
357,1,1,1,1,1,1,100.0
462,1,1,1,1,1,1,100.0
405,1,1,1,1,1,1,100.0
491,1,1,1,1,1,1,100.0
509,1,1,1,1,1,1,100.0
440,1,1,1,1,1,1,100.0
475,1,1,1,1,1,1,100.0
532,1,1,1,1,1,1,100.0
221,1,1,1,1,1,1,100.0
558,1,1,1,1,1,1,100.0
317,1,1,1,1,1,1,100.0
446,1,1,1,1,1,1,100.0
198,1,1,1,1,1,1,100.0
531,1,1,1,1,1,1,100.0
218,1,1,1,1,1,1,100.0
242,1,1,1,1,1,1,100.0
196,1,1,1,1,1,1,100.0
494,1,1,1,1,1,1,100.0
476,1,1,1,1,1,1,100.0
246,1,1,1,1,1,1,100.0
514,1,1,1,1,1,1,100.0
407,1,1,1,1,1,1,100.0
224,1,1,1,1,1,1,100.0
274,1,1,1,1,1,1,100.0
452,1,1,1,1,1,1,100.0
525,1,1,1,1,1,1,100.0
531,1,1,1,1,1,1,100.0
387,1,1,1,1,1,1,100.0
466,1,1,1,1,1,1,100.0
535,1,1,1,1,1,1,100.0
484,1,1,1,1,1,1,100.0
535,1,1,1,1,1,1,100.0
483,1,1,1,1,1,1,100.0
481,1,1,1,1,1,1,100.0
526,1,1,1,1,1,1,100.0
507,1,1,1,1,1,1,100.0
529,1,1,1,1,1,1,100.0
471,1,1,1,1,1,1,100.0
479,1,1,1,1,1,1,100.0
430,1,1,1,1,1,1,100.0
526,1,1,1,1,1,1,100.0
335,1,1,1,1,1,1,100.0
555,1,1,1,1,1,1,100.0
543,1,1,1,1,1,1,100.0
494,1,1,1,1,1,1,100.0
549,1,1,1,1,1,1,100.0
177,1,1,1,1,1,1,100.0
334,1,1,1,1,1,1,100.0
452,1,1,1,1,1,1,100.0
218,1,1,1,1,1,1,100.0
464,1,1,1,1,1,1,100.0
346,1,1,1,1,1,1,100.0
493,1,1,1,1,1,1,100.0
530,1,1,1,1,1,1,100.0
370,1,1,1,1,1,1,100.0
248,1,1,1,1,1,1,100.0
288,1,1,1,1,1,1,100.0
92,1,1,1,1,1,1,99.2
309,1,1,1,1,1,1,100.0
398,1,1,1,1,1,1,100.0
519,1,1,1,1,1,1,100.0
413,1,1,1,1,1,1,100.0
520,1,1,1,1,1,1,100.0
310,1,1,1,1,1,1,100.0
193,1,1,1,1,1,1,100.0
327,1,1,1,1,1,1,100.0
312,1,1,1,1,1,1,100.0
501,1,1,1,1,1,1,100.0
544,1,1,1,1,1,1,100.0
467,1,1,1,1,1,1,100.0
329,1,1,1,1,1,1,100.0
451,1,1,1,1,1,1,100.0
445,1,1,1,1,1,1,100.0
221,1,1,1,1,1,1,100.0
420,1,1,1,1,1,1,100.0
217,1,1,1,1,1,1,100.0
542,1,1,1,1,1,1,100.0
427,1,1,1,1,1,1,100.0
417,1,1,1,1,1,1,100.0
407,1,1,1,1,1,1,100.0
196,1,1,1,1,1,1,100.0
247,1,1,1,1,1,1,100.0
170,1,1,1,1,1,1,100.0
266,1,1,1,1,1,1,100.0
283,1,1,1,1,1,1,100.0
551,1,1,1,1,1,1,100.0
396,1,1,1,1,1,1,100.0
499,1,1,1,1,1,1,100.0
427,1,1,1,1,1,1,100.0
272,1,1,1,1,1,1,100.0
465,1,1,1,1,1,1,100.0
266,1,1,1,1,1,1,100.0
188,1,1,1,1,1,1,100.0
185,1,1,1,1,1,1,100.0
448,1,1,1,1,1,1,100.0
324,1,1,1,1,1,1,100.0
421,1,1,1,1,1,1,100.0
447,1,1,1,1,1,1,100.0
511,1,1,1,1,1,1,100.0
515,1,1,1,1,1,1,100.0
446,1,1,1,1,1,1,100.0
209,1,1,1,1,1,1,100.0
214,1,1,1,1,1,1,100.0
516,1,1,1,1,1,1,100.0
560,1,1,1,1,1,1,100.0
546,1,1,1,1,1,1,100.0
478,1,1,1,1,1,1,100.0
331,1,1,1,1,1,1,100.0
530,1,1,1,1,1,1,100.0
196,1,1,1,1,1,1,100.0
493,1,1,1,1,1,1,100.0
374,1,1,1,1,1,1,100.0
531,1,1,1,1,1,1,100.0
457,1,1,1,1,1,1,100.0
220,1,1,1,1,1,1,100.0
474,1,1,1,1,1,1,100.0
482,1,1,1,1,1,1,100.0
547,1,1,1,1,1,1,100.0
440,1,1,1,1,1,1,100.0
435,1,1,1,1,1,1,100.0
421,1,1,1,1,1,1,100.0
536,1,1,1,1,1,1,100.0
237,1,1,1,1,1,1,100.0
532,1,1,1,1,1,1,100.0
211,1,1,1,1,1,1,100.0
544,1,1,1,1,1,1,100.0
210,1,1,1,1,1,1,100.0
374,1,1,1,1,1,1,100.0
493,1,1,1,1,1,1,100.0
376,1,1,1,1,1,1,100.0
533,1,1,1,1,1,1,100.0
521,1,1,1,1,1,1,100.0
270,1,1,1,1,1,1,100.0
184,1,1,1,1,1,1,100.0
424,1,1,1,1,1,1,100.0
510,1,1,1,1,1,1,100.0
101,1,1,1,1,1,1,100.0
455,1,1,1,1,1,1,100.0
332,1,1,1,1,1,1,100.0
456,1,1,1,1,1,1,100.0
180,1,1,1,1,1,1,100.0
307,1,1,1,1,1,1,100.0
505,1,1,1,1,1,1,100.0
517,1,1,1,1,1,1,100.0
470,1,1,1,1,1,1,100.0
495,1,1,1,1,1,1,100.0
452,1,1,1,1,1,1,100.0
350,1,1,1,1,1,1,100.0
498,1,1,1,1,1,1,100.0
539,1,1,1,1,1,1,100.0
409,1,1,1,1,1,1,100.0
533,1,1,1,1,1,1,100.0
462,1,1,1,1,1,1,100.0
199,1,1,1,1,1,1,100.0
509,1,1,1,1,1,1,100.0
392,1,1,1,1,1,1,100.0
262,1,1,1,1,1,1,100.0
311,1,1,1,1,1,1,100.0
372,1,1,1,1,1,1,100.0
272,1,1,1,1,1,1,100.0
537,1,1,1,1,1,1,100.0
